Uniprot ID,Description,Gene name,Log2(average_P/S)
P51398,"28S ribosomal protein S29, mitochondrial OS=Homo sapiens OX=9606 GN=DAP3 PE=1 SV=1",DAP3,1.484586829
Q96QR8,Transcriptional activator protein Pur-beta OS=Homo sapiens OX=9606 GN=PURB PE=1 SV=3,PURB,1.478466035
Q9NY12,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,GAR1,1.475778395
O60941,Dystrobrevin beta OS=Homo sapiens OX=9606 GN=DTNB PE=1 SV=1,DTNB,1.473867999
O75400,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,PRPF40A,1.473001393
O75369,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,FLNB,1.472966177
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,UCHL5,1.471563641
O43395,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2,PRPF3,1.463197804
O00255,Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4,MEN1,1.452824993
Q92785,Zinc finger protein ubi-d4 OS=Homo sapiens OX=9606 GN=DPF2 PE=1 SV=2,DPF2,1.451056799
O43156,TELO2-interacting protein 1 homolog OS=Homo sapiens OX=9606 GN=TTI1 PE=1 SV=3,TTI1,1.449059522
Q6PJG2,Mitotic deacetylase-associated SANT domain protein OS=Homo sapiens OX=9606 GN=MIDEAS PE=1 SV=2,ELMSAN1,1.446142483
Q14566,DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,MCM6,1.444561918
Q9BQ67,Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1,GRWD1,1.442880663
Q9UIQ6,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,LNPEP,1.442114806
O75122,CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=3,,1.437513664
O75818,Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40 PE=1 SV=3,RPP40,1.425549002
P60468,Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2,SEC61B,1.421432431
Q2M389,WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2,KIAA1033; WASHC4,1.42130774
Q9Y6V7,Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1,DDX49,1.419475979
Q14241,Elongin-A OS=Homo sapiens OX=9606 GN=ELOA PE=1 SV=2,TCEB3; ELOA,1.418138942
Q969S3,Zinc finger protein 622 OS=Homo sapiens OX=9606 GN=ZNF622 PE=1 SV=1,ZNF622,1.411870163
Q9Y5U2,Protein TSSC4 OS=Homo sapiens OX=9606 GN=TSSC4 PE=1 SV=3,TSSC4,1.411799743
O75934,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens OX=9606 GN=BCAS2 PE=1 SV=1,BCAS2,1.411678447
Q96MY1,Nucleolar protein 4-like OS=Homo sapiens OX=9606 GN=NOL4L PE=1 SV=2,C20orf112; NOL4L,1.410835103
O43663,Protein regulator of cytokinesis 1 OS=Homo sapiens OX=9606 GN=PRC1 PE=1 SV=2,PRC1,1.410703592
Q14207,Protein NPAT OS=Homo sapiens OX=9606 GN=NPAT PE=1 SV=3,NPAT,1.410576547
Q96AH0,SOSS complex subunit B2 OS=Homo sapiens OX=9606 GN=NABP1 PE=1 SV=1,NABP1,1.409147277
Q86V81,THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3,ALYREF,1.407458364
P33992,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,MCM5,1.403426567
Q9H8M2,Bromodomain-containing protein 9 OS=Homo sapiens OX=9606 GN=BRD9 PE=1 SV=2,BRD9,1.399502961
P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",HADHA,1.396522106
Q13188,Serine/threonine-protein kinase 3 OS=Homo sapiens OX=9606 GN=STK3 PE=1 SV=2,STK3,1.389947346
P61923,Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1,COPZ1,1.386661877
Q9Y2R5,"28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1",MRPS17,1.382952064
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,MCM3,1.37774558
Q9NRL2,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens OX=9606 GN=BAZ1A PE=1 SV=2,BAZ1A,1.37769084
Q10469,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT2 PE=1 SV=1",MGAT2,1.376409607
P53814,Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=7,SMTN,1.370312826
P33991,DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5,MCM4,1.369862704
Q9BZL4,Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens OX=9606 GN=PPP1R12C PE=1 SV=1,PPP1R12C,1.367212995
Q8N3R9,MAGUK p55 subfamily member 5 OS=Homo sapiens OX=9606 GN=MPP5 PE=1 SV=3,MPP5,1.366838949
Q8WXH0,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,SYNE2,1.365293278
Q96HY6,DDRGK domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DDRGK1 PE=1 SV=2,DDRGK1,1.360465773
Q13769,THO complex subunit 5 homolog OS=Homo sapiens OX=9606 GN=THOC5 PE=1 SV=2,THOC5,1.360242004
Q5BJF6,Outer dense fiber protein 2 OS=Homo sapiens OX=9606 GN=ODF2 PE=1 SV=1,ODF2,1.346634311
O43684,Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1,BUB3,1.340578397
Q9C0B0,RING finger protein unkempt homolog OS=Homo sapiens OX=9606 GN=UNK PE=1 SV=2,UNK,1.340507317
O60341,Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2,KDM1A,1.336371695
Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,EIF3A,1.333151229
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,SMC1A,1.332496517
Q8IVF2,Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,AHNAK2,1.330622238
Q9Y240,C-type lectin domain family 11 member A OS=Homo sapiens OX=9606 GN=CLEC11A PE=1 SV=1,CLEC11A,1.325696234
Q96PK6,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,RBM14; RBM14-RBM4,1.325241925
O95486,Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,SEC24A,1.324638206
Q68DK2,Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ZFYVE26 PE=1 SV=3,ZFYVE26,1.3210571
Q16670,Zinc finger and SCAN domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ZSCAN26 PE=1 SV=2,ZNF187; ZSCAN26,1.320122854
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4,SEC22B,1.318761216
Q08431,Lactadherin OS=Homo sapiens OX=9606 GN=MFGE8 PE=1 SV=3,,1.314898758
Q8IWR0,Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens OX=9606 GN=ZC3H7A PE=1 SV=1,ZC3H7A,1.313987291
Q96AX1,Vacuolar protein sorting-associated protein 33A OS=Homo sapiens OX=9606 GN=VPS33A PE=1 SV=1,VPS33A,1.31069645
A0FGR9,Extended synaptotagmin-3 OS=Homo sapiens OX=9606 GN=ESYT3 PE=1 SV=1,ESYT3,1.308941247
Q5T8P6,RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=3,RBM26,1.305572361
Q9H160,Inhibitor of growth protein 2 OS=Homo sapiens OX=9606 GN=ING2 PE=1 SV=2,ING2,1.305198669
Q9BYE7,Polycomb group RING finger protein 6 OS=Homo sapiens OX=9606 GN=PCGF6 PE=1 SV=2,PCGF6,1.304909807
Q9UKK3,Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,PARP4,1.303331972
Q86T24,Transcriptional regulator Kaiso OS=Homo sapiens OX=9606 GN=ZBTB33 PE=1 SV=2,ZBTB33,1.302442652
O95239,Chromosome-associated kinesin KIF4A OS=Homo sapiens OX=9606 GN=KIF4A PE=1 SV=3,KIF4A,1.293967072
P14866,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,HNRNPL,1.293159573
P49411,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",TUFM,1.28324734
Q14739,Delta(14)-sterol reductase LBR OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2,LBR,1.280981652
P25490,Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2,YY1,1.278618851
O00567,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,NOP56,1.273550092
Q9H0S4,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,DDX47,1.269842988
O43829,Zinc finger and BTB domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZBTB14 PE=1 SV=2,ZBTB14; ZFP161,1.261162889
Q92766,Ras-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=RREB1 PE=1 SV=3,RREB1,1.25776836
Q96CW1,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,AP2M1,1.256543226
P61586,Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1,RHOA,1.256476585
O14617,AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,AP3D1,1.252222733
Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens OX=9606 GN=SCCPDH PE=1 SV=1,SCCPDH,1.251894427
Q96N11,Uncharacterized protein C7orf26 OS=Homo sapiens OX=9606 GN=C7orf26 PE=2 SV=1,C7orf26,1.250869644
Q9H7N4,"Splicing factor, arginine/serine-rich 19 OS=Homo sapiens OX=9606 GN=SCAF1 PE=1 SV=3",SCAF1,1.247971498
Q96HS1,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2",PGAM5,1.243404745
Q6NUQ4,Transmembrane protein 214 OS=Homo sapiens OX=9606 GN=TMEM214 PE=1 SV=2,TMEM214,1.235086268
Q9GZS1,DNA-directed RNA polymerase I subunit RPA49 OS=Homo sapiens OX=9606 GN=POLR1E PE=1 SV=3,,1.233826897
P84243,Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2,H3F3A; H3F3AP4; H3F3B,1.227742973
Q6ZUT1,Uncharacterized protein NKAPD1 OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=2,C11orf57; NKAPD1,1.218886474
P62805,Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,HIST1H4A; HIST1H4F; HIST1H4D; HIST1H4J; HIST2H4A; HIST2H4B; HIST1H4H; HIST1H4C; HIST4H4; HIST1H4E; HIST1H4I; HIST1H4B; HIST1H4K; HIST1H4L,1.218248896
O43760,Synaptogyrin-2 OS=Homo sapiens OX=9606 GN=SYNGR2 PE=1 SV=1,SYNGR2,1.217022474
P62826,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,RAN,1.21632371
O00139,Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,KIF2A,1.213398108
Q86Y82,Syntaxin-12 OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=1,STX12,1.213121543
P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2,HBB,1.206327885
O60573,Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens OX=9606 GN=EIF4E2 PE=1 SV=1,EIF4E2,1.206317739
Q96JM3,Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2,CHAMP1,1.204651609
Q96F07,Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2,CYFIP2,1.204291215
Q15131,Cyclin-dependent kinase 10 OS=Homo sapiens OX=9606 GN=CDK10 PE=1 SV=1,CDK10,1.192581908
Q5F1R6,DnaJ homolog subfamily C member 21 OS=Homo sapiens OX=9606 GN=DNAJC21 PE=1 SV=2,DNAJC21,1.182616108
Q96CB8,Integrator complex subunit 12 OS=Homo sapiens OX=9606 GN=INTS12 PE=1 SV=1,INTS12,1.180844269
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2,LRRFIP1,1.1788565
P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,PRKDC,1.169088069
Q9UNF1,Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2,MAGED2,1.166808272
Q9H3Q1,Cdc42 effector protein 4 OS=Homo sapiens OX=9606 GN=CDC42EP4 PE=1 SV=1,CDC42EP4,1.164398531
Q9BU64,Centromere protein O OS=Homo sapiens OX=9606 GN=CENPO PE=1 SV=1,CENPO,1.163117122
Q9NQC3,Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2,RTN4,1.162783252
O75955,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,FLOT1,1.149348131
O96028,Histone-lysine N-methyltransferase NSD2 OS=Homo sapiens OX=9606 GN=NSD2 PE=1 SV=1,WHSC1; NSD2,1.149043659
O00425,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,IGF2BP3,1.148589979
P98179,RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1,RBM3,1.144017862
P55735,Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3,SEC13,1.143864776
Q4KMP7,TBC1 domain family member 10B OS=Homo sapiens OX=9606 GN=TBC1D10B PE=1 SV=3,TBC1D10B,1.134908293
Q9BYD2,"39S ribosomal protein L9, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL9 PE=1 SV=2",MRPL9,1.134101855
Q15907,Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4,RAB11B,1.133560674
Q01650,Large neutral amino acids transporter small subunit 1 OS=Homo sapiens OX=9606 GN=SLC7A5 PE=1 SV=2,SLC7A5,1.130090823
Q6NXR4,TELO2-interacting protein 2 OS=Homo sapiens OX=9606 GN=TTI2 PE=1 SV=1,TTI2,1.128507656
Q8N5K1,CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CISD2 PE=1 SV=1,CISD2,1.126614369
Q8IX12,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2,CCAR1,1.121361393
Q05193,Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2,DNM1,1.1103729
Q9Y2Q9,"28S ribosomal protein S28, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS28 PE=1 SV=1",MRPS28,1.10852052
Q8IZD4,mRNA-decapping enzyme 1B OS=Homo sapiens OX=9606 GN=DCP1B PE=1 SV=2,DCP1B,1.107918959
Q9NPI1,Bromodomain-containing protein 7 OS=Homo sapiens OX=9606 GN=BRD7 PE=1 SV=1,BRD7,1.097818019
Q04637,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4,EIF4G1,1.090821646
O95487,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,SEC24B,1.084674535
Q15836,Vesicle-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=VAMP3 PE=1 SV=3,VAMP3,1.083786037
Q01130,Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4,SRSF2,1.07116324
Q8WUD4,Coiled-coil domain-containing protein 12 OS=Homo sapiens OX=9606 GN=CCDC12 PE=1 SV=1,CCDC12,1.066964174
Q92759,General transcription factor IIH subunit 4 OS=Homo sapiens OX=9606 GN=GTF2H4 PE=1 SV=1,GTF2H4,1.064970466
Q13136,Liprin-alpha-1 OS=Homo sapiens OX=9606 GN=PPFIA1 PE=1 SV=1,PPFIA1,1.063674827
Q2VPB7,AP-5 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP5B1 PE=1 SV=4,AP5B1,1.063209779
Q13283,Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,G3BP1,1.062850241
Q4W5G0,Tigger transposable element-derived protein 2 OS=Homo sapiens OX=9606 GN=TIGD2 PE=3 SV=1,TIGD2,1.06255796
Q96AG4,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,LRRC59,1.060390092
P49768,Presenilin-1 OS=Homo sapiens OX=9606 GN=PSEN1 PE=1 SV=1,PSEN1,1.058902199
Q9NUQ7,Ufm1-specific protease 2 OS=Homo sapiens OX=9606 GN=UFSP2 PE=1 SV=3,UFSP2,1.056756503
P62829,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,RPL23,1.055817716
Q8N2G8,GH3 domain-containing protein OS=Homo sapiens OX=9606 GN=GHDC PE=1 SV=2,GHDC,1.054631178
O14578,Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2,CIT,1.052436098
Q9GZN7,Protein rogdi homolog OS=Homo sapiens OX=9606 GN=ROGDI PE=1 SV=1,ROGDI,1.052289094
Q05397,Focal adhesion kinase 1 OS=Homo sapiens OX=9606 GN=PTK2 PE=1 SV=2,PTK2,1.048684816
O75569,Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapiens OX=9606 GN=PRKRA PE=1 SV=1,PRKRA,1.048590232
P78347,General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2,GTF2I,1.046085936
Q15043,Metal cation symporter ZIP14 OS=Homo sapiens OX=9606 GN=SLC39A14 PE=1 SV=3,SLC39A14,1.046062473
Q969N2,GPI transamidase component PIG-T OS=Homo sapiens OX=9606 GN=PIGT PE=1 SV=1,PIGT,1.045836324
Q92520,Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1,FAM3C; WNT16,1.039136014
Q8IY18,Structural maintenance of chromosomes protein 5 OS=Homo sapiens OX=9606 GN=SMC5 PE=1 SV=2,SMC5,1.039055254
Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,TUBA1C,1.038834782
O43347,RNA-binding protein Musashi homolog 1 OS=Homo sapiens OX=9606 GN=MSI1 PE=1 SV=1,MSI1,1.038344024
Q9Y3E0,Vesicle transport protein GOT1B OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1,GOLT1B,1.026446087
Q9UGU5,HMG domain-containing protein 4 OS=Homo sapiens OX=9606 GN=HMGXB4 PE=1 SV=2,HMGXB4,1.024558219
Q8WWC4,"m-AAA protease-interacting protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=MAIP1 PE=1 SV=1",C2orf47; MAIP1,1.022770977
O95639,Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens OX=9606 GN=CPSF4 PE=1 SV=1,CPSF4,1.01962998
Q13637,Ras-related protein Rab-32 OS=Homo sapiens OX=9606 GN=RAB32 PE=1 SV=3,RAB32,1.017224477
Q9HC52,Chromobox protein homolog 8 OS=Homo sapiens OX=9606 GN=CBX8 PE=1 SV=3,CBX8,1.016881962
Q9BXW9,Fanconi anemia group D2 protein OS=Homo sapiens OX=9606 GN=FANCD2 PE=1 SV=2,FANCD2,1.016404756
Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,TUBB3,1.016393498
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=SLC9A3R2 PE=1 SV=2,SLC9A3R2,1.014824715
Q9Y2D4,Exocyst complex component 6B OS=Homo sapiens OX=9606 GN=EXOC6B PE=1 SV=3,EXOC6B,1.010316918
O43295,SLIT-ROBO Rho GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=SRGAP3 PE=1 SV=3,SRGAP3,1.008496479
O95232,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,LUC7L3,1.00839386
Q96JP5,E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens OX=9606 GN=ZFP91 PE=1 SV=1,ZFP91,1.007676792
Q8NI36,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,WDR36,0.99683565
Q6P1X5,Transcription initiation factor TFIID subunit 2 OS=Homo sapiens OX=9606 GN=TAF2 PE=1 SV=3,TAF2,0.996726425
P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,TUBB4B,0.994566182
Q8N5Y2,Male-specific lethal 3 homolog OS=Homo sapiens OX=9606 GN=MSL3 PE=1 SV=1,MSL3,0.994460031
Q86Y07,Serine/threonine-protein kinase VRK2 OS=Homo sapiens OX=9606 GN=VRK2 PE=1 SV=3,VRK2,0.988878623
O00192,Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens OX=9606 GN=ARVCF PE=1 SV=1,ARVCF,0.98828737
Q86WA8,"Lon protease homolog 2, peroxisomal OS=Homo sapiens OX=9606 GN=LONP2 PE=1 SV=1",LONP2,0.987410278
O60563,Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1,CCNT1,0.984832065
O75925,E3 SUMO-protein ligase PIAS1 OS=Homo sapiens OX=9606 GN=PIAS1 PE=1 SV=2,PIAS1,0.981546478
Q9BUL5,PHD finger protein 23 OS=Homo sapiens OX=9606 GN=PHF23 PE=1 SV=1,PHF23,0.973137439
Q9BSI4,TERF1-interacting nuclear factor 2 OS=Homo sapiens OX=9606 GN=TINF2 PE=1 SV=1,TINF2,0.968658367
P38432,Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,COIL,0.96521859
P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,TUBB4A,0.964908962
Q15542,Transcription initiation factor TFIID subunit 5 OS=Homo sapiens OX=9606 GN=TAF5 PE=1 SV=3,TAF5,0.964087139
Q9P291,Armadillo repeat-containing X-linked protein 1 OS=Homo sapiens OX=9606 GN=ARMCX1 PE=1 SV=1,ARMCX1,0.963626951
Q9GZQ8,Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3,MAP1LC3B,0.963512262
Q00587,Cdc42 effector protein 1 OS=Homo sapiens OX=9606 GN=CDC42EP1 PE=1 SV=1,CDC42EP1,0.960920005
Q9BSR8,Protein YIPF4 OS=Homo sapiens OX=9606 GN=YIPF4 PE=1 SV=1,YIPF4,0.959743269
Q8N3E9,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Homo sapiens OX=9606 GN=PLCD3 PE=1 SV=3",PLCD3,0.959129483
P62906,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,RPL10A,0.957700268
Q96QC0,Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PPP1R10 PE=1 SV=1,PPP1R10,0.95095972
Q8TBF4,Zinc finger CCHC-type and RNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=ZCRB1 PE=1 SV=2,ZCRB1,0.950590648
Q9Y6X8,Zinc fingers and homeoboxes protein 2 OS=Homo sapiens OX=9606 GN=ZHX2 PE=1 SV=1,ZHX2,0.950322037
Q6SPF0,Atherin OS=Homo sapiens OX=9606 GN=SAMD1 PE=1 SV=1,SAMD1,0.949986756
Q93063,Exostosin-2 OS=Homo sapiens OX=9606 GN=EXT2 PE=1 SV=1,EXT2,0.942434197
Q9BPW8,Protein NipSnap homolog 1 OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1,NIPSNAP1,0.93990838
Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PTRH2 PE=1 SV=1",PTRH2,0.937545679
O00203,AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,AP3B1,0.934123604
Q659A1,Little elongation complex subunit 2 OS=Homo sapiens OX=9606 GN=ICE2 PE=1 SV=2,NARG2; ICE2,0.933959704
Q13243,Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1,SRSF5,0.931383283
O15269,Serine palmitoyltransferase 1 OS=Homo sapiens OX=9606 GN=SPTLC1 PE=1 SV=1,SPTLC1,0.93093635
Q96SB4,SRSF protein kinase 1 OS=Homo sapiens OX=9606 GN=SRPK1 PE=1 SV=2,SRPK1,0.926920041
Q8N5L8,Ribonuclease P protein subunit p25-like protein OS=Homo sapiens OX=9606 GN=RPP25L PE=1 SV=1,RPP25L,0.916899375
Q8WVM0,"Dimethyladenosine transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TFB1M PE=1 SV=1",TFB1M,0.916810137
Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,PLEC,0.916641335
Q96T88,E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1,UHRF1,0.909240004
O14936,Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=3,CASK,0.905567185
Q9NRR5,Ubiquilin-4 OS=Homo sapiens OX=9606 GN=UBQLN4 PE=1 SV=2,UBQLN4,0.902682316
Q92552,"28S ribosomal protein S27, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=3",MRPS27,0.901955331
Q9UKX7,Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2,NUP50,0.901672782
P11233,Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1,RALA,0.900590628
Q9H4K7,Mitochondrial ribosome-associated GTPase 2 OS=Homo sapiens OX=9606 GN=MTG2 PE=1 SV=1,GTPBP5; MTG2,0.898204355
